State/UT/City,Rural Total,Urban Total,Cause,No. of Cases,Total Injuries,Total Deaths,Mode of Transport,Total Persons Died,Year,Time Of Occurance,Accident Count,Year
Andhra Pradesh,5469,2115,Dangerous or Careless Driving//Over-taking/etc.,109695.0,100458.0,41653.0,Truck/Lorry ,24260.0,2018.0,0000 hrs to 0300 hrs. (Night),23685.0,2019.0
Arunachal Pradesh,106,57,Over speeding,264158.0,274997.0,84346.0,Bus ,10514.0,2018.0,0300 hrs to 0600 hrs. (Night),26869.0,2019.0
Assam,1579,1133,Driving under Influence of Drug/Alcohol,8750.0,8342.0,3272.0,SUV/Station Wagon/etc. ,6359.0,2018.0,0600 hrs to 0900 hrs. (Day),48517.0,2019.0
Bihar,3729,3000,Physical Fatigue of Drivers,1865.0,2099.0,812.0,Car ,21290.0,2018.0,0900 hrs to 1200 hrs. (Day),64832.0,2019.0
Chhattisgarh,2788,1805,Defect in Mechanical condition of Motor Vehicle,4556.0,4492.0,2127.0,Jeep ,4873.0,2018.0,1200 hrs to 1500 hrs. (Day),66720.0,2019.0
Goa,206,58,Animal Crossing,3193.0,3489.0,1396.0,Tractor,4661.0,2018.0,1500 hrs to 1800 hrs. (Day),75963.0,2019.0
Gujarat,5584,2456,Poor Visibility Due to Weather,4660.0,4014.0,2142.0,Three Wheeler/Auto Rickshaw ,7276.0,2018.0,1800 hrs to 2100 hrs. (Night),83097.0,2019.0
Haryana,3635,1794,Others Causes due to Weather Conditions,6263.0,6131.0,2364.0,Two Wheeler,54610.0,2018.0,2100 hrs to 2400 hrs. (Night),47713.0,2019.0
Himachal Pradesh,736,341,Lack of Road Infrastructure,3401.0,3515.0,1237.0,Other Motor Vehicles,4025.0,2018.0,0000 hrs to 0300 hrs. (Night),23759.0,2018.0
Jammu & Kashmir,676,310,Vehicles Parking at Road Shoulders,3691.0,3253.0,1196.0,Bicycle,1614.0,2018.0,0300 hrs to 0600 hrs. (Night),26837.0,2018.0
Jharkhand,2074,1468,Causes Not Known,7914.0,7366.0,2987.0,Hand Drawn Vehicle/Cycle Rickshaw,94.0,2018.0,0600 hrs to 0900 hrs. (Day),48364.0,2018.0
Karnataka,7268,3722,Other Causes,27368.0,28362.0,9248.0,Animal Drawn Vehicle,150.0,2018.0,0900 hrs to 1200 hrs. (Day),65077.0,2018.0
Kerala,2828,1475,Total Road Accidents,445514.0,446518.0,152780.0,Pedestrian,10482.0,2018.0,1200 hrs to 1500 hrs. (Day),66834.0,2018.0
Madhya Pradesh,7381,4046,Unmanned Railway Crossing Accidents,40.0,0.0,40.0,Others,2572.0,2018.0,1500 hrs to 1800 hrs. (Day),75987.0,2018.0
Maharashtra,7949,5914,,,,,,,,1800 hrs to 2100 hrs. (Night),83398.0,2018.0
Manipur,94,41,,,,,,,,2100 hrs to 2400 hrs. (Night),46419.0,2018.0
Meghalaya,141,55,,,,,,,,0000 hrs to 0300 hrs. (Night),23784.0,2017.0
Mizoram,23,39,,,,,,,,0300 hrs to 0600 hrs. (Night),28781.0,2017.0
Nagaland,13,22,,,,,,,,0600 hrs to 0900 hrs. (Day),52614.0,2017.0
Odisha,2453,2783,,,,,,,,0900 hrs to 1200 hrs. (Day),67544.0,2017.0
Punjab,2704,2034,,,,,,,,1200 hrs to 1500 hrs. (Day),69156.0,2017.0
Rajasthan,7852,2468,,,,,,,,1500 hrs to 1800 hrs. (Day),78079.0,2017.0
Sikkim,54,17,,,,,,,,1800 hrs to 2100 hrs. (Night),80567.0,2017.0
Tamil Nadu,7425,4791,,,,,,,,2100 hrs to 2400 hrs. (Night),45205.0,2017.0
Telangana,3431,3172,,,,,,,,,,
Tripura,131,81,,,,,,,,,,
Uttar Pradesh,14050,8491,,,,,,,,,,
Uttarakhand,560,513,,,,,,,,,,
West Bengal,3359,2110,,,,,,,,,,
Total (States),94298,56311,,,,,,,,,,
A & N Islands,14,5,,,,,,,,,,
Chandigarh,0,101,,,,,,,,,,
D & N Haveli,39,15,,,,,,,,,,
Daman & Diu,29,7,,,,,,,,,,
Delhi (UT),259,1475,,,,,,,,,,
Lakshadweep,1,0,,,,,,,,,,
Puducherry,132,94,,,,,,,,,,
Total (UTs),474,1697,,,,,,,,,,
Total (All India),94772,58008,,,,,,,,,,
Agra,0,186,,,,,,,,,,
Ahmedabad,0,373,,,,,,,,,,
Allahabad,0,374,,,,,,,,,,
Amritsar,0,77,,,,,,,,,,
Asansol,47,203,,,,,,,,,,
Aurangabad,64,128,,,,,,,,,,
Bengaluru,68,618,,,,,,,,,,
Bhopal,0,149,,,,,,,,,,
Chandigarh (City),0,101,,,,,,,,,,
Chennai,0,1260,,,,,,,,,,
Coimbatore,0,162,,,,,,,,,,
Delhi (City),0,1445,,,,,,,,,,
Dhanbad,94,25,,,,,,,,,,
Durg Bhilainagar,0,131,,,,,,,,,,
Faridabad,40,215,,,,,,,,,,
Ghaziabad,0,216,,,,,,,,,,
Gwalior,0,150,,,,,,,,,,
Hyderabad,0,310,,,,,,,,,,
Indore,0,303,,,,,,,,,,
Jabalpur,0,175,,,,,,,,,,
Jaipur,258,434,,,,,,,,,,
Jamshedpur,0,83,,,,,,,,,,
Jodhpur,102,143,,,,,,,,,,
Kannur,0,68,,,,,,,,,,
Kanpur,0,653,,,,,,,,,,
Kochi,0,141,,,,,,,,,,
Kolkata,0,294,,,,,,,,,,
Kollam,0,241,,,,,,,,,,
Kota,0,89,,,,,,,,,,
Kozhikode,0,154,,,,,,,,,,
Lucknow,143,309,,,,,,,,,,
Ludhiana,155,173,,,,,,,,,,
Madurai,0,153,,,,,,,,,,
Malappuram,55,67,,,,,,,,,,
Meerut,0,223,,,,,,,,,,
Mumbai,0,546,,,,,,,,,,
Nagpur,0,284,,,,,,,,,,
Nasik,23,236,,,,,,,,,,
Patna,0,406,,,,,,,,,,
Pune,48,238,,,,,,,,,,
Raipur,0,140,,,,,,,,,,
Rajkot,116,86,,,,,,,,,,
Ranchi,0,230,,,,,,,,,,
Srinagar,2,44,,,,,,,,,,
Surat,0,318,,,,,,,,,,
Thiruvananthapuram,25,177,,,,,,,,,,
Thrissur,126,92,,,,,,,,,,
Tiruchirappalli,0,122,,,,,,,,,,
Vadodara,0,182,,,,,,,,,,
Varanasi,0,98,,,,,,,,,,
